,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,state,id
29,Cheeky Monkey Cycle Company,Sporting Goods Shop,456 Pitt Street,AU,Sydney,Australia,,84,"['456 Pitt Street', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.864641, 'lng': 151.210584}]",-33.864641,151.210584,NSW,4b05876ef964a5208b9222e3
0,Av do estado São Paulo,Moving Target,,BR,,Brasil,,42,['Brasil'],"[{'label': 'display', 'lat': -23.534131395296956, 'lng': -46.62544543977818}]",-23.534131395296956,-46.62544543977818,,527378da11d2ab6b39bb7c5f
1,Tamijak Sucos e Lanches,Sandwich Place,"Rua João Teodoro, 586",BR,São Paulo,Brasil,com Rua Cantareira,29,"['Rua João Teodoro, 586 (com Rua Cantareira)', 'São Paulo, SP', '0105000', 'Brasil']","[{'label': 'display', 'lat': -23.533991, 'lng': -46.625446}]",-23.533991,-46.625446,SP,4f37df11e4b0d26ba1717c50
2,Rio Tamanduateí,River,Av. do Estado,BR,São Paulo,Brasil,,88,"['Av. do Estado', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533850804156195, 'lng': -46.62615210171553}]",-23.533850804156195,-46.62615210171553,SP,4c85458cc5a9952173af9305
3,Toca do Mosquito,Bar,,BR,,Brasil,,195,['Brasil'],"[{'label': 'display', 'lat': -23.53545462563937, 'lng': -46.62582703598035}]",-23.53545462563937,-46.62582703598035,,51395850e4b06091ac4d0662
4,Padaria Nova Era,Bakery,,BR,,Brasil,,150,['Brasil'],"[{'label': 'display', 'lat': -23.532479524194006, 'lng': -46.62572810335119}]",-23.532479524194006,-46.62572810335119,,51cedf0f498e45cf2d2e826d
5,Liceu de Artes e Ofícios de São Paulo,High School,"R. da Cantareira, 1351",BR,São Paulo,Brasil,R. Jorge Miranda,145,"['R. da Cantareira, 1351 (R. Jorge Miranda)', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533399379715878, 'lng': -46.62665619335155}]",-23.533399379715878,-46.62665619335155,SP,4c6a6ead8d22c9286fb1b945
6,Adesul Transportadora,General Travel,"Rua Pedro Alvares Cabral, 145",BR,,Brasil,"Rua João Teodoro, 690",55,"['Rua Pedro Alvares Cabral, 145 (Rua João Teodoro, 690)', 'Brasil']","[{'label': 'display', 'lat': -23.53414229370332, 'lng': -46.625652165480034}]",-23.53414229370332,-46.625652165480034,,51b8a539498e26051016d558
7,Escola Estadual Orestes Guimarães,School,"Rua Canindé, 153",BR,,Brasil,,161,"['Rua Canindé, 153', 'Brasil']","[{'label': 'display', 'lat': -23.533198744531834, 'lng': -46.62383428801352}]",-23.533198744531834,-46.62383428801352,,5395a1a7498e82b504b51f9c
8,Bicicletaria Mil Graus,Bike Shop,Avenida Do Estado,BR,São Paulo,Brasil,,73,"['Avenida Do Estado', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.53434452062471, 'lng': -46.62565272624169}]",-23.53434452062471,-46.62565272624169,SP,509e80b8e4b0872dbd43bc6d
